epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,699.944,0.53895,1.80543,1.23146,0.11603,1,0.86667,0.54407,0.62128,2.86076,1.50369,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282,0.00103285,0.000344282
81,712.55,0.72595,1.82571,1.31051,0.82707,0.80201,0.87067,0.54898,0.62258,2.81115,1.49574,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328,0.0009984,0.0003328
82,716.58,0.54489,1.89349,1.20357,0.82707,0.80201,0.87067,0.54898,0.62258,2.81115,1.49574,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922,0.000962766,0.000320922
83,720.65,0.65119,1.7331,1.28401,0.82707,0.80201,0.87067,0.54898,0.62258,2.81115,1.49574,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648,0.000925944,0.000308648
84,733.308,0.71684,1.82939,1.30377,1,0.53718,0.88051,0.58701,0.6276,2.77019,1.50116,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978,0.000887934,0.000295978
85,737.358,0.62205,1.74549,1.28489,1,0.53718,0.88051,0.58701,0.6276,2.77019,1.50116,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912,0.000848736,0.000282912
86,741.546,0.59092,1.66001,1.21034,1,0.53718,0.88051,0.58701,0.6276,2.77019,1.50116,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945
87,745.699,0.70237,1.79938,1.32028,1,0.53718,0.88051,0.58701,0.6276,2.77019,1.50116,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592
88,758.353,0.57542,1.60983,1.19753,1,0.54466,0.90267,0.61649,0.62195,2.72655,1.48808,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338
89,762.451,0.52906,1.69985,1.17771,1,0.54466,0.90267,0.61649,0.62195,2.72655,1.48808,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688
90,766.518,0.73625,1.63052,1.27855,1,0.54466,0.90267,0.61649,0.62195,2.72655,1.48808,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642
91,770.536,0.46708,2.17005,1.24342,1,0.54466,0.90267,0.61649,0.62195,2.72655,1.48808,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962
92,783.333,0.44096,2.02571,1.0921,1,0.60371,0.94786,0.66702,0.62115,2.68635,1.49832,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362
93,787.493,0.40522,2.00653,1.19948,1,0.60371,0.94786,0.66702,0.62115,2.68635,1.49832,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128
94,791.658,0.48147,2.20435,1.1121,1,0.60371,0.94786,0.66702,0.62115,2.68635,1.49832,0.000442494,0.000147498,0.000442494,0.000147498,0.000442494,0.000147498,0.000442494,0.000147498
95,795.717,1.06991,2.72637,1.67456,1,0.60371,0.94786,0.66702,0.62115,2.68635,1.49832,0.000391416,0.000130472,0.000391416,0.000130472,0.000391416,0.000130472,0.000391416,0.000130472
96,808.571,0.57717,2.16158,1.28564,1,0.63544,0.94786,0.71145,0.63385,2.66156,1.4933,0.00033915,0.00011305,0.00033915,0.00011305,0.00033915,0.00011305,0.00033915,0.00011305
97,812.567,0.57475,2.11834,1.26041,1,0.63544,0.94786,0.71145,0.63385,2.66156,1.4933,0.000285696,9.5232e-05,0.000285696,9.5232e-05,0.000285696,9.5232e-05,0.000285696,9.5232e-05
98,816.633,0.50066,2.1031,1.25475,1,0.63544,0.94786,0.71145,0.63385,2.66156,1.4933,0.000231054,7.7018e-05,0.000231054,7.7018e-05,0.000231054,7.7018e-05,0.000231054,7.7018e-05
99,820.741,0.45461,1.92957,1.04635,1,0.63544,0.94786,0.71145,0.63385,2.66156,1.4933,0.000175224,5.8408e-05,0.000175224,5.8408e-05,0.000175224,5.8408e-05,0.000175224,5.8408e-05
100,833.337,0.66565,2.273,1.37893,1,0.6457,0.955,0.72466,0.6378,2.63197,1.50441,0.000118206,3.9402e-05,0.000118206,3.9402e-05,0.000118206,3.9402e-05,0.000118206,3.9402e-05
