epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,287.388,1.37588,1.01658,1.477,0.60245,0.728,0.52912,0.15412,2.03206,3.22013,2.16647,0.000797826,0.000797826,0.000797826
81,289.784,1.40096,0.93431,1.45758,0.60245,0.728,0.52912,0.15412,2.03206,3.22013,2.16647,0.000786824,0.000786824,0.000786824
82,292.202,1.49223,1.37216,1.80318,0.60453,0.752,0.552,0.17085,1.97684,3.28744,2.11886,0.000775822,0.000775822,0.000775822
83,294.583,1.28998,0.94362,1.41759,0.60202,0.792,0.55561,0.18569,1.92305,3.03671,2.0869,0.00076482,0.00076482,0.00076482
84,296.95,1.27081,0.91538,1.39717,0.59368,0.8,0.55603,0.21347,1.86861,2.73053,2.07942,0.000753817,0.000753817,0.000753817
85,299.477,1.34971,1.0354,1.47598,0.59368,0.8,0.55603,0.21347,1.86861,2.73053,2.07942,0.000742815,0.000742815,0.000742815
86,301.999,1.36608,1.00429,1.53605,0.57457,0.824,0.53585,0.21181,1.85711,2.39746,2.12505,0.000731813,0.000731813,0.000731813
87,304.519,1.40043,0.93496,1.47019,0.56504,0.85219,0.523,0.20433,1.875,2.25536,2.14112,0.000720811,0.000720811,0.000720811
88,306.933,1.2503,0.89196,1.51039,0.56376,0.7754,0.51805,0.19488,1.91388,2.11124,2.12293,0.000709809,0.000709809,0.000709809
89,309.466,1.27732,1.00561,1.42895,0.56376,0.7754,0.51805,0.19488,1.91388,2.11124,2.12293,0.000698806,0.000698806,0.000698806
90,311.917,1.30876,1.01471,1.47685,0.57466,0.744,0.51405,0.18208,1.89649,2.06746,2.06954,0.000687804,0.000687804,0.000687804
91,314.3,1.30536,0.91225,1.39709,0.59587,0.68416,0.54305,0.19465,1.88732,2.11037,2.03479,0.000676802,0.000676802,0.000676802
92,316.783,1.4156,1.05675,1.59799,0.60807,0.68,0.55517,0.20387,1.81726,2.11581,1.9546,0.0006658,0.0006658,0.0006658
93,319.219,1.38685,0.95975,1.49527,0.60807,0.68,0.55517,0.20387,1.81726,2.11581,1.9546,0.000654798,0.000654798,0.000654798
94,321.644,1.21892,0.8707,1.43559,0.59542,0.648,0.54737,0.217,1.75873,2.15933,1.9054,0.000643795,0.000643795,0.000643795
95,324.102,1.26929,0.88446,1.41967,0.60264,0.648,0.54185,0.22559,1.74528,2.17093,1.89564,0.000632793,0.000632793,0.000632793
96,326.497,1.16643,0.90669,1.34212,0.61147,0.68,0.53175,0.22156,1.75401,2.18666,1.92541,0.000621791,0.000621791,0.000621791
97,328.844,1.34677,0.90365,1.37253,0.61147,0.68,0.53175,0.22156,1.75401,2.18666,1.92541,0.000610789,0.000610789,0.000610789
98,331.315,1.33666,0.91634,1.50692,0.60736,0.744,0.52373,0.21499,1.79835,2.26461,2.0124,0.000599787,0.000599787,0.000599787
99,333.699,1.27131,0.96271,1.49218,0.60347,0.696,0.52486,0.2072,1.95548,2.48956,2.22333,0.000588784,0.000588784,0.000588784
100,336.632,1.48616,0.98243,1.60426,0.57101,0.696,0.47969,0.17136,2.22322,3.03635,2.69699,0.000577782,0.000577782,0.000577782
101,339.172,1.29378,0.87948,1.43244,0.57101,0.696,0.47969,0.17136,2.22322,3.03635,2.69699,0.00056678,0.00056678,0.00056678
102,341.765,1.24315,0.83867,1.48733,0.56121,0.672,0.46409,0.15688,2.35154,3.09882,2.84541,0.000555778,0.000555778,0.000555778
103,344.118,1.08702,0.75702,1.39609,0.57031,0.67955,0.46497,0.14733,2.4102,3.18614,2.91647,0.000544776,0.000544776,0.000544776
104,346.549,1.15145,0.90575,1.34854,0.58517,0.68839,0.4806,0.15621,2.36921,2.84937,2.80217,0.000533773,0.000533773,0.000533773
105,348.918,1.18878,0.83862,1.37518,0.58517,0.68839,0.4806,0.15621,2.36921,2.84937,2.80217,0.000522771,0.000522771,0.000522771
106,351.276,1.35062,0.95182,1.52754,0.58873,0.72148,0.50737,0.16369,2.24494,2.67519,2.5771,0.000511769,0.000511769,0.000511769
107,353.768,1.1029,0.77736,1.38076,0.59279,0.744,0.52369,0.17653,2.06668,2.45996,2.31159,0.000500767,0.000500767,0.000500767
108,356.165,1.21678,0.83128,1.39136,0.60481,0.7591,0.54013,0.19722,1.92725,2.28066,2.09998,0.000489765,0.000489765,0.000489765
109,358.566,1.37679,1.04142,1.64138,0.60481,0.7591,0.54013,0.19722,1.92725,2.28066,2.09998,0.000478762,0.000478762,0.000478762
110,360.965,1.30406,0.90642,1.43856,0.61319,0.73557,0.53061,0.19832,1.87427,2.19406,2.02384,0.00046776,0.00046776,0.00046776
111,363.414,1.15664,0.92787,1.45279,0.58545,0.728,0.51608,0.19377,1.81963,2.11191,1.96311,0.000456758,0.000456758,0.000456758
112,365.848,1.10537,0.79123,1.31764,0.57697,0.69832,0.51035,0.19223,1.83245,2.10513,1.95254,0.000445756,0.000445756,0.000445756
113,368.348,1.13389,0.94716,1.5064,0.57697,0.69832,0.51035,0.19223,1.83245,2.10513,1.95254,0.000434754,0.000434754,0.000434754
114,370.814,1.25152,0.87026,1.40623,0.60692,0.608,0.48274,0.18109,1.81415,2.12075,1.94132,0.000423751,0.000423751,0.000423751
115,373.384,1.46162,1.12918,1.61013,0.56933,0.632,0.46432,0.17313,1.8569,2.15059,2.00697,0.000412749,0.000412749,0.000412749
116,375.897,1.19862,1.01836,1.48894,0.5406,0.624,0.4562,0.17058,1.89147,2.2372,2.05516,0.000401747,0.000401747,0.000401747
117,378.446,1.48703,1.05592,1.49219,0.5406,0.624,0.4562,0.17058,1.89147,2.2372,2.05516,0.000390745,0.000390745,0.000390745
118,380.946,1.35232,0.89024,1.60098,0.55396,0.632,0.46428,0.18231,1.93968,2.35087,2.1408,0.000379743,0.000379743,0.000379743
119,383.485,1.35905,0.97558,1.38408,0.54681,0.672,0.49414,0.19456,1.89784,2.36718,2.11349,0.00036874,0.00036874,0.00036874
120,385.963,1.39532,0.97377,1.39737,0.61526,0.69085,0.51948,0.20469,1.86585,2.38748,2.08331,0.000357738,0.000357738,0.000357738
121,388.446,1.3169,0.98376,1.52843,0.61526,0.69085,0.51948,0.20469,1.86585,2.38748,2.08331,0.000346736,0.000346736,0.000346736
122,390.946,1.23952,0.77741,1.37455,0.59418,0.712,0.53086,0.21163,1.86941,2.34079,2.08049,0.000335734,0.000335734,0.000335734
123,393.313,1.07086,0.81968,1.43352,0.60864,0.752,0.54346,0.20901,1.8988,2.34758,2.12022,0.000324732,0.000324732,0.000324732
124,395.757,1.3572,0.8568,1.49055,0.62523,0.76,0.54907,0.21375,1.89117,2.33461,2.11952,0.000313729,0.000313729,0.000313729
125,398.161,1.27751,0.80778,1.42883,0.62523,0.76,0.54907,0.21375,1.89117,2.33461,2.11952,0.000302727,0.000302727,0.000302727
126,400.576,1.0264,0.81506,1.36971,0.57968,0.816,0.5439,0.21628,1.86769,2.30065,2.067,0.000291725,0.000291725,0.000291725
127,402.996,1.2375,0.7612,1.34122,0.58797,0.8,0.54578,0.21905,1.83517,2.27988,1.9881,0.000280723,0.000280723,0.000280723
128,405.487,1.18095,0.85497,1.50004,0.56648,0.784,0.52863,0.21824,1.80609,2.28941,1.93837,0.000269721,0.000269721,0.000269721
129,407.877,1.17787,0.88759,1.49555,0.56648,0.784,0.52863,0.21824,1.80609,2.28941,1.93837,0.000258718,0.000258718,0.000258718
130,410.336,1.30994,0.76103,1.3995,0.57716,0.76438,0.52117,0.2116,1.80374,2.28782,1.92892,0.000247716,0.000247716,0.000247716
131,412.781,1.17899,0.82136,1.33152,0.56705,0.74393,0.51896,0.21057,1.79564,2.28121,1.91592,0.000236714,0.000236714,0.000236714
